index,simulator,budget,arm,mean,std,count,mcse
0,mm1_sojourn,100,fixed,0.34600000000000003,0.07168525308739643,50,0.01013782571383438
1,mm1_sojourn,100,oracle,0.3078,0.06098812196164235,50,0.008625022922181902
2,mm1_sojourn,100,plugin_sd_nw,0.3774,0.09774623537820905,50,0.013823405174277607
3,mm1_sojourn,250,fixed,0.2522,0.05610813175449342,50,0.007934888088662112
4,mm1_sojourn,250,oracle,0.2488,0.05957810856689027,50,0.00842561691558329
5,mm1_sojourn,250,plugin_sd_nw,0.3184,0.05908693007867686,50,0.008356153787625558
6,mm1_sojourn,500,fixed,0.2432,0.04127755727624731,50,0.0058375281321701175
7,mm1_sojourn,500,oracle,0.223,0.038926933124110594,50,0.005505099676570768
8,mm1_sojourn,500,plugin_sd_nw,0.3046,0.05599599111015148,50,0.007919029006649949
9,mm1_sojourn,1000,fixed,0.2242,0.04189832201598416,50,0.0059253175235680034
10,mm1_sojourn,1000,oracle,0.2308,0.04169079573454544,50,0.0058959688753920545
11,mm1_sojourn,1000,plugin_sd_nw,0.28600000000000003,0.061312182096785524,50,0.008670851945996295
12,raised_floor_gauss,100,fixed,0.5642,0.08181836528530245,50,0.011570864183767075
13,raised_floor_gauss,100,oracle,0.29100000000000004,0.061120489900804015,50,0.008643742575660482
14,raised_floor_gauss,100,plugin_sd_nw,0.696,0.05034574339058885,50,0.007119963311072636
15,raised_floor_gauss,250,fixed,0.5711999999999999,0.06394002291688865,50,0.009042484758751043
16,raised_floor_gauss,250,oracle,0.2964,0.05208940508826127,50,0.007366554313176519
17,raised_floor_gauss,250,plugin_sd_nw,0.5902000000000001,0.06215484285070569,50,0.008790022172663638
18,raised_floor_gauss,500,fixed,0.5494,0.040173602867392154,50,0.005681405402445664
19,raised_floor_gauss,500,oracle,0.29600000000000004,0.04179639668093656,50,0.005910903104450629
20,raised_floor_gauss,500,plugin_sd_nw,0.5216000000000001,0.04432532790490727,50,0.006268547987975446
21,raised_floor_gauss,1000,fixed,0.531,0.05019350311645963,50,0.007098433285031342
22,raised_floor_gauss,1000,oracle,0.2962,0.04827176467984284,50,0.006826658428991628
23,raised_floor_gauss,1000,plugin_sd_nw,0.46759999999999996,0.041823731179749135,50,0.005914768786344771
24,raised_floor_t3,100,fixed,0.6056,0.06815827917728086,50,0.00963903628005223
25,raised_floor_t3,100,oracle,0.3136,0.06310858798571727,50,0.008924902103161712
26,raised_floor_t3,100,plugin_sd_nw,0.6779999999999999,0.05749889084999462,50,0.008131571126147265
27,raised_floor_t3,250,fixed,0.7387999999999999,0.04623100823526328,50,0.006538051884849157
28,raised_floor_t3,250,oracle,0.4426,0.04397633872148681,50,0.006219193464343974
29,raised_floor_t3,250,plugin_sd_nw,0.6142,0.050146316526984196,50,0.007091760093551513
30,raised_floor_t3,500,fixed,0.7276,0.04662310892373315,50,0.006593503295994149
31,raised_floor_t3,500,oracle,0.429,0.0473911211868525,50,0.0067021166318513735
32,raised_floor_t3,500,plugin_sd_nw,0.5748,0.05307830180449427,50,0.007506405427964812
33,raised_floor_t3,1000,fixed,0.7182,0.04415603132122288,50,0.006244605835504457
34,raised_floor_t3,1000,oracle,0.4368,0.053277862309264054,50,0.007534627545200756
35,raised_floor_t3,1000,plugin_sd_nw,0.5392,0.05759960317323623,50,0.008145813999489904
