simulator,x0,s_oracle
mm1_sojourn,0.1,1.1111111111111112
mm1_sojourn,0.10200501253132832,1.1135919620429808
mm1_sojourn,0.10401002506265665,1.1160839160839162
mm1_sojourn,0.10601503759398496,1.1185870479394449
mm1_sojourn,0.1080200501253133,1.1211014329867939
mm1_sojourn,0.11002506265664161,1.1236271472824557
mm1_sojourn,0.11203007518796992,1.126164267569856
mm1_sojourn,0.11403508771929825,1.1287128712871288
mm1_sojourn,0.11604010025062657,1.131273036574993
mm1_sojourn,0.1180451127819549,1.13384484228474
mm1_sojourn,0.12005012531328321,1.1364283679863287
mm1_sojourn,0.12205513784461153,1.1390236939765914
mm1_sojourn,0.12406015037593986,1.1416309012875536
mm1_sojourn,0.12606516290726819,1.1442500716948667
mm1_sojourn,0.1280701754385965,1.1468812877263581
mm1_sojourn,0.13007518796992482,1.1495246326707
mm1_sojourn,0.13208020050125313,1.152180190586197
mm1_sojourn,0.13408521303258147,1.1548480463096962
mm1_sojourn,0.1360902255639098,1.1575282854656224
mm1_sojourn,0.1380952380952381,1.160220994475138
mm1_sojourn,0.14010025062656642,1.1629262605654327
mm1_sojourn,0.14210526315789473,1.165644171779141
mm1_sojourn,0.14411027568922308,1.1683748169838946
mm1_sojourn,0.1461152882205514,1.1711182858820077
mm1_sojourn,0.1481203007518797,1.1738746690203001
mm1_sojourn,0.15012531328320802,1.176644057800059
mm1_sojourn,0.15213032581453634,1.1794265444871417
mm1_sojourn,0.15413533834586468,1.1822222222222223
mm1_sojourn,0.156140350877193,1.185031185031185
mm1_sojourn,0.1581453634085213,1.1878535278356652
mm1_sojourn,0.16015037593984963,1.190689346463742
mm1_sojourn,0.16215538847117794,1.1935387376607838
mm1_sojourn,0.16416040100250628,1.1964017991004499
mm1_sojourn,0.16616541353383457,1.1992786293958522
mm1_sojourn,0.16817042606516291,1.2021693281108767
mm1_sojourn,0.17017543859649123,1.20507399577167
mm1_sojourn,0.17218045112781954,1.2079927338782925
mm1_sojourn,0.1741854636591479,1.2109256449165402
mm1_sojourn,0.17619047619047618,1.2138728323699421
mm1_sojourn,0.17819548872180452,1.2168344007319305
mm1_sojourn,0.18020050125313283,1.2198104555181901
mm1_sojourn,0.18220551378446115,1.222801103279191
mm1_sojourn,0.1842105263157895,1.2258064516129032
mm1_sojourn,0.18621553884711778,1.2288266091777025
mm1_sojourn,0.18822055137844612,1.2318616857054645
mm1_sojourn,0.19022556390977444,1.234911792014856
mm1_sojourn,0.19223057644110275,1.2379770400248216
mm1_sojourn,0.1942355889724311,1.2410575427682737
mm1_sojourn,0.1962406015037594,1.244153414405987
mm1_sojourn,0.19824561403508772,1.2472647702407
mm1_sojourn,0.20025062656641604,1.2503917267314322
mm1_sojourn,0.20225563909774436,1.2535344015080112
mm1_sojourn,0.2042606516290727,1.256692913385827
mm1_sojourn,0.206265664160401,1.259867382380802
mm1_sojourn,0.20827067669172933,1.2630579297245963
mm1_sojourn,0.21027568922305764,1.266264677880038
mm1_sojourn,0.21228070175438596,1.269487750556793
mm1_sojourn,0.2142857142857143,1.2727272727272727
mm1_sojourn,0.21629072681704262,1.2759833706427888
mm1_sojourn,0.21829573934837093,1.2792561718499518
mm1_sojourn,0.22030075187969925,1.2825458052073289
mm1_sojourn,0.22230576441102756,1.2858524009023526
mm1_sojourn,0.2243107769423559,1.2891760904684977
mm1_sojourn,0.22631578947368422,1.2925170068027212
mm1_sojourn,0.22832080200501254,1.2958752841831762
mm1_sojourn,0.23032581453634085,1.2992510582872028
mm1_sojourn,0.23233082706766917,1.3026444662095984
mm1_sojourn,0.2343358395989975,1.3060556464811783
mm1_sojourn,0.23634085213032582,1.3094847390876272
mm1_sojourn,0.23834586466165414,1.3129318854886476
mm1_sojourn,0.24035087719298245,1.3163972286374133
mm1_sojourn,0.24235588972431077,1.3198809130003308
mm1_sojourn,0.2443609022556391,1.3233830845771144
mm1_sojourn,0.24636591478696743,1.3269038909211839
mm1_sojourn,0.24837092731829574,1.3304434811603867
mm1_sojourn,0.25037593984962403,1.3340020060180542
mm1_sojourn,0.2523809523809524,1.3375796178343948
mm1_sojourn,0.2543859649122807,1.3411764705882354
mm1_sojourn,0.25639097744360906,1.3447927199191103
mm1_sojourn,0.25839598997493735,1.3484285231497126
mm1_sojourn,0.26040100250626563,1.3520840393087088
mm1_sojourn,0.262406015037594,1.3557594291539246
mm1_sojourn,0.2644110275689223,1.3594548551959114
mm1_sojourn,0.26641604010025066,1.3631704817218997
mm1_sojourn,0.26842105263157895,1.3669064748201438
mm1_sojourn,0.27042606516290724,1.370663002404672
mm1_sojourn,0.2724310776942356,1.374440234240441
mm1_sojourn,0.2744360902255639,1.378238341968912
mm1_sojourn,0.27644110275689227,1.3820574991340493
mm1_sojourn,0.27844611528822055,1.385897881208753
