index,simulator,budget,mean,std,count,mcse,metric
0,mm1_sojourn,100,0.27516891311443187,0.29357118821517314,50,0.04151723558958824,delta_interval_score
1,mm1_sojourn,250,0.19488019084907657,0.22567223225526276,50,0.031914873150640365,delta_interval_score
2,mm1_sojourn,500,0.1720389352282118,0.19780036791044595,50,0.02797319629413406,delta_interval_score
3,mm1_sojourn,1000,0.10468360151533788,0.18276934732282593,50,0.025847488977001915,delta_interval_score
4,raised_floor_gauss,100,0.5399126150544443,0.15385799317171697,50,0.021758806062294918,delta_interval_score
5,raised_floor_gauss,250,0.36097584155385065,0.08650375981111276,50,0.012233479032114034,delta_interval_score
6,raised_floor_gauss,500,0.26098316499636576,0.08353431699229627,50,0.011813536401407866,delta_interval_score
7,raised_floor_gauss,1000,0.17402994629711263,0.06905026326973923,50,0.0097651818801498,delta_interval_score
8,raised_floor_t3,100,0.3750467065798132,0.11302366847724456,50,0.01598396048296797,delta_interval_score
9,raised_floor_t3,250,0.23695562760226538,0.07650806144708784,50,0.010819873812934575,delta_interval_score
10,raised_floor_t3,500,0.1664929143777946,0.05839995168883609,50,0.008259000372028553,delta_interval_score
11,raised_floor_t3,1000,0.11269033102817459,0.05505037339431758,50,0.007785298466794691,delta_interval_score
0,mm1_sojourn,100,0.03419999999999999,0.05360817787142067,50,0.007581341219987235,delta_worst_group_coverage_gap
1,mm1_sojourn,250,0.016199999999999985,0.02538599967682651,50,0.003590122503736706,delta_worst_group_coverage_gap
2,mm1_sojourn,500,0.014799999999999975,0.0234076561694446,50,0.00331034248181948,delta_worst_group_coverage_gap
3,mm1_sojourn,1000,0.005399999999999991,0.016685567514031562,50,0.0023596955874235362,delta_worst_group_coverage_gap
4,raised_floor_gauss,100,0.11900000000000002,0.054445254286170024,50,0.0076997217018353525,delta_worst_group_coverage_gap
5,raised_floor_gauss,250,0.08980000000000005,0.03755214062215525,50,0.005310674656399359,delta_worst_group_coverage_gap
6,raised_floor_gauss,500,0.07020000000000003,0.03490453452794131,50,0.0049362466117734575,delta_worst_group_coverage_gap
7,raised_floor_gauss,1000,0.04299999999999998,0.028517806825253095,50,0.004033026918140894,delta_worst_group_coverage_gap
8,raised_floor_t3,100,0.09460000000000003,0.05135749056111183,50,0.007263045968097256,delta_worst_group_coverage_gap
9,raised_floor_t3,250,0.059800000000000034,0.0436820609516034,50,0.006177576303016572,delta_worst_group_coverage_gap
10,raised_floor_t3,500,0.035,0.03170334431596024,50,0.004483529950421494,delta_worst_group_coverage_gap
11,raised_floor_t3,1000,0.029000000000000015,0.030855158666364558,50,0.00436357838551465,delta_worst_group_coverage_gap
