simulator,budget,n_macroreps,mean_mean_abs_scale_relative_error,sd_mean_abs_scale_relative_error,mcse_mean_abs_scale_relative_error,mean_mean_h_over_s,sd_mean_h_over_s,mcse_mean_h_over_s,mean_sd_h_over_s,sd_sd_h_over_s,mcse_sd_h_over_s
mm1_sojourn,100,50,0.18211102853167552,0.08479241392355763,0.011991458175704846,1.071525699726853,0.1363011761268521,0.019275897184599818,0.16967060276086687,0.05912557970478853,0.008361619670168335
mm1_sojourn,250,50,0.11949313949851231,0.03447240799323265,0.00487513469116883,0.983014419777362,0.08152410809843386,0.011529249933317543,0.13310019152435346,0.031562756897262456,0.004463647886999351
mm1_sojourn,500,50,0.0895238037114434,0.026704305986799345,0.003776559170029267,0.967756744729467,0.05848316987302919,0.008270769200500749,0.10467925581595097,0.020793381026382122,0.002940628145510098
mm1_sojourn,1000,50,0.07532144984472677,0.016120015830891246,0.0022797145013715397,0.9575366524367941,0.036537614767627576,0.00516719903411424,0.09271284057436319,0.01619704557977764,0.002290608152929673
raised_floor_gauss,100,50,0.9200413009498888,0.09014811999116511,0.012748869391394283,1.7150874961293696,0.14144377182686402,0.02000317004307566,1.1822174931482279,0.09626079942209811,0.013613332806760733
raised_floor_gauss,250,50,0.6105252647841641,0.0578080183030532,0.008175288349808995,1.4377583101440015,0.08107794548012394,0.011466153010733764,0.7638475138626292,0.061316150514806496,0.008671413165054938
raised_floor_gauss,500,50,0.4712134317248232,0.03157360062917977,0.004465181422273772,1.3215485637956876,0.05283564138795044,0.007472088062752073,0.5732210669794395,0.03190745523913305,0.004512395593999442
raised_floor_gauss,1000,50,0.35344484162773926,0.021049797543150107,0.0029768909170730736,1.2298592591296909,0.03893437530052819,0.005506152159253101,0.42250827699473376,0.019884330269903834,0.0028120689546403867
raised_floor_t3,100,50,0.8167748248874741,0.1576461756530722,0.022294535966482593,1.5162813594256825,0.2236858343380172,0.03163395406315653,1.0642328844797213,0.17757776578243867,0.02511328847454377
raised_floor_t3,250,50,0.5438869303563277,0.09020717420418199,0.012757220918290657,1.2859359194081583,0.1413629216852582,0.019991736106397786,0.6855991846654177,0.10557219255777187,0.014930162652466489
raised_floor_t3,500,50,0.3961562031623121,0.04469732434522628,0.006321156229080812,1.1410182286641488,0.06145314003543797,0.00869078640885294,0.497173232719134,0.0536239363440465,0.0075835698045582075
raised_floor_t3,1000,50,0.30771280358709646,0.048013022771844056,0.006790066797447011,1.0992485747563814,0.08147819540010144,0.011522756897250859,0.3762689526217735,0.05503646704651338,0.007783331812227914
