macrorep,simulator,budget,comparison,delta_coverage,delta_coverage_interval,delta_width,delta_interval_score,delta_mean_group_coverage_gap,delta_worst_group_coverage_gap
0,mm1_sojourn,100,plugin_sd_nw_minus_oracle,0.010000000000000009,0.015000000000000013,0.6486241984782595,0.3050841238214925,0.0119999999999999,0.06000000000000011
0,mm1_sojourn,100,plugin_sd_nw_minus_fixed,-0.01100000000000001,0.01200000000000001,-1.2116564333098996,1.3974468121104522,0.0010000000000000009,0.040000000000000105
0,mm1_sojourn,100,oracle_minus_fixed,-0.02100000000000002,-0.0030000000000000027,-1.860280631788159,1.0923626882889597,-0.010999999999999899,-0.020000000000000004
0,mm1_sojourn,250,plugin_sd_nw_minus_oracle,0.0,0.0,-0.3253099898394902,-0.11789976428626048,0.0,-0.010000000000000002
0,mm1_sojourn,250,plugin_sd_nw_minus_fixed,0.017000000000000015,0.06900000000000006,-0.627472580292479,0.5498157899339571,-0.012999999999999998,-0.019999999999999997
0,mm1_sojourn,250,oracle_minus_fixed,0.017000000000000015,0.06900000000000006,-0.30216259045298877,0.6677155542202176,-0.012999999999999998,-0.009999999999999995
0,mm1_sojourn,500,plugin_sd_nw_minus_oracle,0.0020000000000000018,-0.0030000000000000027,-0.18888959917867965,0.172785397874609,0.004,0.019999999999999997
0,mm1_sojourn,500,plugin_sd_nw_minus_fixed,-0.02300000000000002,0.026000000000000023,-0.9864726139776447,1.828554888915793,-0.012999999999999897,-0.009999999999999898
0,mm1_sojourn,500,oracle_minus_fixed,-0.025000000000000022,0.029000000000000026,-0.7975830147989651,1.655769491041184,-0.016999999999999897,-0.029999999999999895
0,mm1_sojourn,1000,plugin_sd_nw_minus_oracle,0.0010000000000000009,0.0020000000000000018,-0.17030743780983482,0.1802528252653346,0.0009999999999999974,0.0
0,mm1_sojourn,1000,plugin_sd_nw_minus_fixed,-0.029000000000000026,0.0040000000000000036,-1.64536552867495,2.1740590756891667,-0.006999999999999902,1.0408340855860843e-16
0,mm1_sojourn,1000,oracle_minus_fixed,-0.030000000000000027,0.0020000000000000018,-1.4750580908651152,1.993806250423832,-0.0079999999999999,1.0408340855860843e-16
0,raised_floor_gauss,100,plugin_sd_nw_minus_oracle,-0.020000000000000018,-0.02100000000000002,-0.18040305487517516,0.6152389718746396,0.076,0.1200000000000001
0,raised_floor_gauss,100,plugin_sd_nw_minus_fixed,-0.0020000000000000018,-0.0050000000000000044,-0.1469777581103089,0.14544060476309095,0.025999999999999898,0.020000000000000018
0,raised_floor_gauss,100,oracle_minus_fixed,0.018000000000000016,0.016000000000000014,0.033425296764866275,-0.46979836711154865,-0.0500000000000001,-0.10000000000000009
