macrorep,simulator,budget,comparison,delta_max_pairwise_score_ks,delta_mean_pairwise_score_ks,delta_bin_mean_score_range
0,mm1_sojourn,100,plugin_sd_nw_minus_oracle,0.10999999999999999,0.04800000000000004,0.016608603747255313
0,mm1_sojourn,100,plugin_sd_nw_minus_fixed,0.08999999999999997,0.019333333333333397,-0.048768758114808866
0,mm1_sojourn,100,oracle_minus_fixed,-0.020000000000000018,-0.028666666666666646,-0.06537736186206418
0,mm1_sojourn,250,plugin_sd_nw_minus_oracle,0.13000000000000003,0.04733333333333334,0.026226422197783844
0,mm1_sojourn,250,plugin_sd_nw_minus_fixed,0.13000000000000003,0.04799999999999999,-0.003899362163811787
0,mm1_sojourn,250,oracle_minus_fixed,0.0,0.0006666666666666488,-0.03012578436159563
0,mm1_sojourn,500,plugin_sd_nw_minus_oracle,0.010000000000000009,-0.015777777777777807,0.0032377234102989733
0,mm1_sojourn,500,plugin_sd_nw_minus_fixed,-0.030000000000000027,-0.03511111111111112,-0.026139506528533515
0,mm1_sojourn,500,oracle_minus_fixed,-0.040000000000000036,-0.019333333333333313,-0.02937722993883249
0,mm1_sojourn,1000,plugin_sd_nw_minus_oracle,-0.06,-0.01200000000000001,-0.00668133707686
0,mm1_sojourn,1000,plugin_sd_nw_minus_fixed,-0.04999999999999999,-0.01244444444444448,-0.03815714840174883
0,mm1_sojourn,1000,oracle_minus_fixed,0.010000000000000009,-0.0004444444444444695,-0.03147581132488883
0,raised_floor_gauss,100,plugin_sd_nw_minus_oracle,0.42,0.18911111111111115,0.14041380463361752
0,raised_floor_gauss,100,plugin_sd_nw_minus_fixed,0.16999999999999993,0.05466666666666675,0.029090813908994567
0,raised_floor_gauss,100,oracle_minus_fixed,-0.25000000000000006,-0.1344444444444444,-0.11132299072462296
0,raised_floor_gauss,250,plugin_sd_nw_minus_oracle,0.24,0.13888888888888887,0.06930613590498459
