simulator,budget,arm,n_macroreps,mean_coverage,sd_coverage,mcse_coverage,mean_coverage_interval,sd_coverage_interval,mcse_coverage_interval,mean_width,sd_width,mcse_width,mean_interval_score,sd_interval_score,mcse_interval_score,mean_mean_group_coverage_gap,sd_mean_group_coverage_gap,mcse_mean_group_coverage_gap,mean_worst_group_coverage_gap,sd_worst_group_coverage_gap,mcse_worst_group_coverage_gap,mean_q_hat,mean_h,mean_score_interval_disagreement,mean_y_outside_grid_rate,mean_lower_grid_clip_rate,mean_upper_grid_clip_rate
mm1_sojourn,100,fixed,50,0.9018600000000001,0.01341642307633691,0.001897368747309102,0.86818,0.022001567662142556,0.003111491538127131,9.326983380378316,1.3363327124481903,0.1889859845787056,12.297663310469524,1.185281638891595,0.16762413689523029,0.04497999999999996,0.010656970507989732,0.0015071232226209171,0.10499999999999994,0.03246662336389577,0.004591473908568059,0.45111211104167753,0.09999999999999998,0.04016,0.0,0.0,0.0
mm1_sojourn,100,oracle,50,0.9022,0.01095258798976158,0.00154892984782055,0.9038400000000002,0.013004489020868058,0.001839112474504362,7.666155909219144,0.7771480228100415,0.10990532738293961,12.550701254263176,0.7394194601723292,0.10456970288583005,0.029359999999999973,0.007639211413516978,0.0010803476386831053,0.06859999999999994,0.020801295093119086,0.0029417473635613926,0.26398306715813674,2.745788879756161,0.0074,0.0,0.0,0.0
mm1_sojourn,100,plugin_sd_nw,50,0.9018999999999999,0.01159565365442887,0.001639873066267445,0.9043800000000001,0.013676868599715286,0.001934201306451208,7.749745989449235,0.9855689734092968,0.13938050088495557,12.825870167377607,0.8186990472395289,0.1157815296108073,0.03861999999999996,0.01284585218532996,0.001816677838073369,0.10279999999999995,0.057001253119057474,0.008061194523323276,0.2638360742067918,2.8129062404299687,0.006679999999999999,0.0,0.0,0.0
mm1_sojourn,250,fixed,50,0.8997800000000001,0.016245928846379733,0.002297521290789851,0.8648,0.026168215648073572,0.0037007445472609494,8.174080014527394,0.8657972694348752,0.12244222407003932,11.303911164966125,0.7469729464481277,0.10563792715927338,0.03485999999999997,0.009426428327866715,0.0013330982786007044,0.08279999999999996,0.02665271744004306,0.003769263447780681,0.4442667513222257,0.09999999999999998,0.040060000000000005,2e-05,0.0,0.0
mm1_sojourn,250,oracle,50,0.9019800000000001,0.013811397245664589,0.001953226530014127,0.9054199999999999,0.014442129415041832,0.0020424255288299573,7.433437372248037,0.6529503711250001,0.09234112704015209,12.497513887313639,0.971306849175959,0.13736353193305195,0.026859999999999967,0.007202635572043979,0.001018606491081549,0.06199999999999994,0.017956864414252195,0.0025394841192330256,0.2611852711670771,2.7458765071479263,0.00452,2e-05,0.0,0.0
mm1_sojourn,250,plugin_sd_nw,50,0.9022800000000002,0.01449284130112491,0.002049597272537178,0.9054399999999998,0.014742912513738776,0.0020849626825809394,7.2145103019121155,0.6207910805921699,0.08779311655736957,12.692394078162716,1.0923107844534679,0.15447607257004886,0.031359999999999964,0.007813541359167972,0.0011050016160298452,0.07819999999999995,0.031860025494179926,0.004505688015142182,0.26968200908337453,2.521930336542982,0.00404,2e-05,0.0,0.0
mm1_sojourn,500,fixed,50,0.8996,0.012116778719222883,0.00171357127969987,0.85948,0.016532269002388855,0.0023380159039978637,8.117056303862002,0.5452159277973799,0.07710517595128848,11.248405211555916,0.7394230799691891,0.10457021480241128,0.032039999999999964,0.008032993190077818,0.0011360367915858765,0.07159999999999994,0.018110770276274807,0.0025612496949731357,0.44155350172542673,0.09999999999999998,0.04452,0.0,0.0,0.0
mm1_sojourn,500,oracle,50,0.89922,0.009468077407579562,0.001338988347939731,0.9033000000000001,0.009439928225254645,0.0013350074523983699,7.228328027676092,0.43605527325542737,0.061667528138213135,12.709579074636606,0.9199309353189896,0.13009788051746815,0.02329999999999999,0.005195170441705191,0.0007347080497499305,0.058199999999999946,0.015477435847328296,0.002188839968605119,0.25473503420229393,2.7493499472315874,0.004680000000000001,0.0,0.0,0.0
mm1_sojourn,500,plugin_sd_nw,50,0.8988200000000001,0.009684176026184297,0.0013695493076638218,0.9028,0.009456668093391647,0.0013373748272535384,7.023876930102517,0.43956874011604785,0.062164407386736925,12.881618009864816,1.0424147734670655,0.14741971102552015,0.02709999999999998,0.006578412437973271,0.0009303280088665656,0.07299999999999994,0.025495097567963927,0.0036055512754639895,0.2634614771705451,2.515231922312346,0.00434,0.0,0.0,0.0
mm1_sojourn,1000,fixed,50,0.8987,0.01160796700370844,0.0016416144368223856,0.8546,0.014034941818074454,0.0019848405066238196,7.90367557195728,0.40369931663228736,0.05709170487021312,10.982636034503782,0.6868379073601243,0.09713354837406432,0.032539999999999986,0.008076698658764593,0.0011422176782425475,0.07179999999999993,0.019762880067728684,0.0027948933023334813,0.44017114630704407,0.09999999999999998,0.04874,0.0,0.0,0.0
mm1_sojourn,1000,oracle,50,0.8985000000000001,0.011798045497073684,0.0016684955951456427,0.90244,0.011459173314913456,0.0016205718315534467,7.220864078162277,0.44499676670510174,0.0629320462686531,12.462852252480683,0.9403816266731276,0.13299004502476097,0.025619999999999976,0.00558017628278344,0.0007891560979545024,0.06219999999999995,0.01644905555256679,0.002326247745066842,0.25596286572456994,2.733406411025535,0.00394,0.0,0.0,0.0
mm1_sojourn,1000,plugin_sd_nw,50,0.8984599999999999,0.01215580821950511,0.001719090884563047,0.90262,0.011423016507142466,0.0016154584867612617,7.020373922057967,0.3886128147718415,0.05495815131623217,12.567535853996018,1.042093811771404,0.1473743201872195,0.02693999999999998,0.0058950342298775965,0.000833683735854653,0.06759999999999994,0.020057061456896272,0.0028364968333693375,0.26493453781880744,2.4975553416748593,0.004240000000000001,0.0,0.0,0.0
raised_floor_gauss,100,fixed,50,0.90102,0.014769646203602578,0.002088743397258706,0.90226,0.01532080085294207,0.002166688435264796,2.7914818233474397,0.40624942273131875,0.05745234433328717,3.876851294105973,0.4444736957919033,0.06285807287070029,0.07321999999999997,0.01124003413459848,0.0015895808714685704,0.16899999999999998,0.05296321403404752,0.007490129559381904,0.4553558471804335,0.09999999999999998,0.00472,0.0,0.0,0.00746
raised_floor_gauss,100,oracle,50,0.9031,0.013425911590682271,0.0018987106258765,0.90278,0.013587644447535909,0.0019215831058408761,2.551251488061751,0.1185077569878235,0.01675952771785949,3.338190074580379,0.18456709110091118,0.026101728340265917,0.036819999999999964,0.008210719722859064,0.0011611711188911549,0.08379999999999993,0.022213252157857744,0.003141428246605584,0.3041982432787518,0.7575645108596188,0.00444,0.0,0.0,0.0
raised_floor_gauss,100,plugin_sd_nw,50,0.9021399999999999,0.013263437545003344,0.0018757333259832236,0.90232,0.013628361783353105,0.001927341406694514,2.535488402536562,0.1367488181004143,0.01933920331960973,3.8781026896348236,0.2870536333681065,0.04059551414376503,0.09017999999999995,0.012328314845865015,0.0017434870056227876,0.20279999999999998,0.0649659251344228,0.009187569241721585,0.3042057673121127,0.7506409333730913,0.0017000000000000003,0.0,0.0,0.0
raised_floor_gauss,250,fixed,50,0.89924,0.014775268912225314,0.0020895385683378604,0.8990400000000001,0.015230152691959742,0.0021538688493982568,2.5391903481469837,0.1410695955392558,0.019950253525010262,3.5269640911208353,0.20028320796403454,0.02832432290183287,0.061039999999999976,0.010478276848522643,0.0014818521229480735,0.13019999999999995,0.03260712329838253,0.0046113435998544295,0.43808732007495194,0.09999999999999998,0.0038,0.0,0.0,0.0
raised_floor_gauss,250,oracle,50,0.90254,0.012985407822880686,0.001836413985606355,0.90176,0.013123526156316012,0.0018559468676420158,2.501693739010901,0.09669029378250248,0.013674072481705395,3.2705373735336627,0.14408085488251623,0.020376109905316422,0.03429999999999996,0.0074839965313749784,0.0010583969395423695,0.08159999999999994,0.017066496597792084,0.0024135670950791847,0.2961527885842639,0.7613625496167522,0.0051400000000000005,0.0,0.0,0.0
raised_floor_gauss,250,plugin_sd_nw,50,0.9001799999999999,0.011379699074246578,0.0016093324766524063,0.8997799999999999,0.011445148691538648,0.0016185884502950638,2.3605946152780235,0.08372733611814011,0.011840833427964442,3.631513215087513,0.18884138229782627,0.026706204398286842,0.08093999999999994,0.009366483887145866,0.0013246208544950748,0.17139999999999997,0.0399494578645752,0.005649706512153474,0.29043644983237493,0.7250431004588094,0.0017600000000000005,0.0,0.0,0.0
raised_floor_gauss,500,fixed,50,0.89972,0.011899305416189441,0.0016828159102394733,0.8995200000000001,0.012186040859800816,0.0017233664255563005,2.4322920287944054,0.12193197332584527,0.017243785036432483,3.3916172252234333,0.14846335982730877,0.020995889698325696,0.05651999999999997,0.00925432055742569,0.0013087585642859551,0.11619999999999994,0.026945901963991922,0.0038107260007853192,0.43143080351660357,0.09999999999999998,0.0032000000000000006,0.0,0.0,0.0
raised_floor_gauss,500,oracle,50,0.9007200000000001,0.011460740439804561,0.00162079345648094,0.9007200000000001,0.011526438110283867,0.0016300845101417552,2.4548010068058064,0.11265850753487842,0.015932318927253657,3.2110824485535847,0.13563372950196828,0.01918150597769273,0.034799999999999984,0.00783242866392732,0.0011076726842845796,0.07919999999999994,0.014685825458167306,0.0020768893537584277,0.2925260592709769,0.7565048395196637,0.004520000000000001,0.0,0.0,0.0
raised_floor_gauss,500,plugin_sd_nw,50,0.9005200000000001,0.01264627072560549,0.0017884527573593125,0.9004000000000001,0.012642655365621489,0.001787941468247089,2.2950280506030647,0.10619733204863688,0.015018570727102122,3.47206561354995,0.18134938728036054,0.025646676301993673,0.07335999999999995,0.009224545782745022,0.0013045477752689548,0.1494,0.03588018610740531,0.005074224581356329,0.2864840879688843,0.7147541436741106,0.0022400000000000002,0.0,0.0,0.0
raised_floor_gauss,1000,fixed,50,0.9009,0.013242248406412832,0.0018727367292662531,0.90032,0.013291765135156564,0.0018797394522016267,2.4195033265435955,0.10247365204253245,0.01449196285044508,3.333921810489605,0.130770935364584,0.01849380303568101,0.05277999999999998,0.01032786996234866,0.0014605813771179181,0.1119999999999999,0.023560603574958087,0.0033319725113401754,0.426534052727469,0.09999999999999998,0.0032600000000000007,0.0,0.0,0.0
raised_floor_gauss,1000,oracle,50,0.9003599999999998,0.0145738933489627,0.0020610597630682094,0.8999600000000001,0.01386665358450457,0.0019610409563935853,2.45363800454521,0.100703432619511,0.014241616018803758,3.1975333108046096,0.12460831383679398,0.017622276741243705,0.034359999999999974,0.00863727092197483,0.0012214945679747571,0.08399999999999994,0.018844151368961313,0.0026649654437396614,0.2895459594442485,0.7632640031817601,0.00524,0.0,0.0,0.0
raised_floor_gauss,1000,plugin_sd_nw,50,0.9019199999999999,0.013361290417944417,0.0018895718119862673,0.9018599999999999,0.013379866080291342,0.0018921988073483758,2.2958139438341325,0.0926720030200545,0.01310580035232415,3.371563257101722,0.1673658177722969,0.023669100937124623,0.06355999999999995,0.010359182065260961,0.0014650095771784179,0.12699999999999997,0.028374320094344624,0.0040127348300537605,0.283672367732869,0.7222905384425867,0.0032600000000000007,0.0,0.0,0.0
raised_floor_t3,100,fixed,50,0.89688,0.011946547618454473,0.0016894969665554316,0.8987,0.013485063543621533,0.001907075975285256,2.5908628409450056,0.4140870710697245,0.058560755191015605,4.184465534084149,0.4633945095386691,0.06553388001188144,0.07067999999999997,0.012549396277860359,0.0017747526415744558,0.16139999999999996,0.046026168244437934,0.006509083135534999,0.4514664597951024,0.04999999999999999,0.01054,4e-05,0.0,8e-05
raised_floor_t3,100,oracle,50,0.8969399999999998,0.011205701901355444,0.0015847255604806846,0.8960600000000002,0.01120023687796152,0.0015839526894604473,2.0121215506876977,0.12178616658569598,0.01722316484949203,3.5081854245485675,0.3396581075005896,0.04803491021973125,0.04149999999999997,0.008241879119992704,0.0011655777230933312,0.09079999999999991,0.01601529880827601,0.00226490527801216,0.25481208268690225,0.7590229415596969,0.008,4e-05,0.0,0.0
raised_floor_t3,100,plugin_sd_nw,50,0.8951600000000001,0.01360426103716579,0.001923933046482373,0.89526,0.013804480195552025,0.001952248311406047,2.002572873323849,0.13503252577292257,0.01909648293095616,3.8832321311283806,0.3804438425381048,0.053802884183872204,0.08023999999999995,0.011925893625867632,0.001686576050912085,0.18539999999999998,0.05330734911236682,0.007538797608886653,0.2816979398836665,0.6610217626737166,0.00434,4e-05,0.0,0.0
raised_floor_t3,250,fixed,50,0.8979600000000002,0.013058674495975349,0.001846775457882398,0.8978800000000001,0.01268880271285335,0.0017944676886793728,2.2303438369295883,0.2232917142835412,0.03157821707053221,3.866453007029273,0.38525080685276797,0.05448269159663621,0.06391999999999995,0.011601970276022694,0.0016407663714600813,0.14119999999999996,0.04415372034617429,0.006244279014278855,0.43552204987550575,0.04999999999999999,0.00752,6e-05,0.0,0.0
raised_floor_t3,250,oracle,50,0.8998400000000001,0.01367906190840139,0.0019345114871402436,0.89878,0.013747415341489792,0.0019441781223510817,1.9653031006366886,0.10818512819139367,0.015299687553534079,3.493978858201891,0.34301154665970757,0.048509158133673014,0.04203999999999997,0.008444198588138392,0.0011941900166717054,0.0931999999999999,0.014348433747988255,0.002029174960521681,0.249136354302736,0.7555479925570695,0.00818,6e-05,0.0,0.0
raised_floor_t3,250,plugin_sd_nw,50,0.8998999999999999,0.012886078550442083,0.0018223667051840227,0.8994599999999999,0.013119871203947224,0.001855429979321039,1.9190813979075605,0.10057510899641936,0.014223468317988854,3.730934485804156,0.3595804616888027,0.050852356568468385,0.06857999999999992,0.009289208133910121,0.0013136924126682162,0.15299999999999997,0.044366286152198696,0.006274340358856503,0.2742845050976221,0.6459153406112874,0.004880000000000001,6e-05,0.0,0.0
raised_floor_t3,500,fixed,50,0.89888,0.01553355814266097,0.0021967768597262165,0.89904,0.016121933342309727,0.0022799856784369416,2.127114629119871,0.14016092719423748,0.01982174841528786,3.752709092558206,0.2893544101706857,0.04092089311958511,0.06143999999999996,0.010546611797547272,0.0014915161441175439,0.11799999999999992,0.02515259551665577,0.0035571141708539296,0.4318578467744522,0.04999999999999999,0.005680000000000001,0.0,0.0,0.00017999999999999998
raised_floor_t3,500,oracle,50,0.89922,0.014228872630202682,0.0020122664650911964,0.8983,0.015125664094039462,0.002139091930169036,1.9713158836727807,0.10111691811271917,0.01430009169803771,3.492041756011952,0.29480370565976444,0.04169153987818848,0.042019999999999974,0.00897954591824995,0.0012698995621541046,0.09459999999999992,0.015414014296564487,0.002179870806881428,0.2486850256979993,0.7594541456123807,0.007039999999999999,0.0,0.0,0.0
raised_floor_t3,500,plugin_sd_nw,50,0.8990200000000002,0.014703171947104571,0.0020793425177498912,0.89902,0.014775172225247145,0.0020895248947342773,1.8932632290823077,0.10669487845159799,0.015088934414199876,3.6585346703897477,0.3127567962027824,0.0442304902914333,0.06149999999999996,0.009914429805457635,0.0014021121094074233,0.12959999999999994,0.03806331996201349,0.005382966331922603,0.2755405678488332,0.6209984637365163,0.005600000000000001,0.0,0.0,0.0
