seed,arm,cov_score,cov_int,width,q_hat,mean_theta
20260716,ET,0.9370,0.9330,1.1085,-0.0029,0.05000
20260716,opt,0.9350,0.9380,3.0161,0.0240,0.01654
20260716,bopt,0.9310,0.9330,2.3831,0.0186,0.02323
20260717,ET,0.9250,0.9140,1.0360,-0.0086,0.05000
20260717,opt,0.9250,0.9270,1.3647,0.0029,0.01573
20260717,bopt,0.9280,0.9220,1.0301,-0.0027,0.02754
20260718,ET,0.9250,0.9150,1.0652,-0.0085,0.05000
20260718,opt,0.9260,0.9250,1.1540,0.0001,0.01531
20260718,bopt,0.9260,0.9230,1.0509,-0.0021,0.02388
20260719,ET,0.8770,0.8670,0.8755,-0.0473,0.05000
20260719,opt,0.9160,0.9160,0.9109,-0.0245,0.01278
20260719,bopt,0.8940,0.8840,0.8549,-0.0438,0.02049
20260720,ET,0.8920,0.8800,0.9495,-0.0249,0.05000
20260720,opt,0.8790,0.8760,0.8230,-0.0386,0.01682
20260720,bopt,0.8840,0.8750,0.8483,-0.0362,0.02093
20260721,ET,0.8550,0.8410,0.8324,-0.0386,0.05000
20260721,opt,0.8350,0.8310,0.7519,-0.0473,0.01638
20260721,bopt,0.8390,0.8330,0.7604,-0.0473,0.01967
20260722,ET,0.9090,0.9050,0.9465,-0.0249,0.05000
20260722,opt,0.9120,0.9180,0.9688,-0.0034,0.01381
20260722,bopt,0.9270,0.9270,1.0281,-0.0060,0.02213
20260723,ET,0.8930,0.8880,0.9300,-0.0248,0.05000
20260723,opt,0.8870,0.8910,0.8811,-0.0181,0.01782
20260723,bopt,0.8930,0.8910,0.9134,-0.0224,0.02805
20260724,ET,0.8950,0.8770,0.9943,-0.0168,0.05000
20260724,opt,0.9060,0.9070,0.9338,-0.0111,0.01771
20260724,bopt,0.9020,0.9040,0.9841,-0.0111,0.02478
20260725,ET,0.8800,0.8770,0.9197,-0.0202,0.05000
20260725,opt,0.8790,0.8800,0.9102,-0.0040,0.01626
20260725,bopt,0.8790,0.8790,0.9260,-0.0145,0.02370
20260726,ET,0.8930,0.8840,0.8885,-0.0309,0.05000
20260726,opt,0.9050,0.9090,0.8943,-0.0117,0.01374
20260726,bopt,0.9040,0.8990,0.8813,-0.0256,0.02479
20260727,ET,0.8860,0.8760,0.9205,-0.0306,0.05000
20260727,opt,0.8920,0.8920,0.8944,-0.0187,0.01696
20260727,bopt,0.8990,0.8990,0.9414,-0.0200,0.02553
20260728,ET,0.8820,0.8660,0.9331,-0.0298,0.05000
20260728,opt,0.8930,0.8960,0.9126,-0.0191,0.01656
20260728,bopt,0.8960,0.8950,0.9209,-0.0225,0.02083
20260729,ET,0.9170,0.8980,1.0241,-0.0078,0.05000
20260729,opt,0.9030,0.9030,0.9289,-0.0074,0.01437
20260729,bopt,0.8890,0.8820,0.8872,-0.0227,0.02338
20260730,ET,0.9290,0.9210,1.0336,-0.0226,0.05000
20260730,opt,0.9130,0.9180,0.9599,-0.0134,0.01391
20260730,bopt,0.9080,0.9040,0.9728,-0.0261,0.02571
20260731,ET,0.9110,0.9060,0.9653,-0.0148,0.05000
20260731,opt,0.9130,0.9170,1.1481,0.0025,0.01586
20260731,bopt,0.9120,0.9180,0.9805,-0.0028,0.02379
20260732,ET,0.8970,0.8910,0.9029,-0.0250,0.05000
20260732,opt,0.9080,0.9090,0.9173,-0.0035,0.01764
20260732,bopt,0.9070,0.9000,0.9114,-0.0173,0.02471
20260733,ET,0.9070,0.9020,0.9557,-0.0169,0.05000
20260733,opt,0.9000,0.9020,0.9072,-0.0081,0.01398
20260733,bopt,0.9060,0.9060,0.9716,-0.0074,0.02068
20260734,ET,0.8880,0.8840,0.9431,-0.0195,0.05000
20260734,opt,0.9000,0.8990,0.9094,-0.0122,0.01854
20260734,bopt,0.8750,0.8720,0.8857,-0.0240,0.02448
20260735,ET,0.9060,0.8950,0.8745,-0.0349,0.05000
20260735,opt,0.9010,0.8990,0.8323,-0.0287,0.01410
20260735,bopt,0.9170,0.9140,0.8752,-0.0244,0.02120
20260736,ET,0.9080,0.8950,0.9990,-0.0296,0.05000
20260736,opt,0.8820,0.8830,0.8466,-0.0384,0.01357
20260736,bopt,0.8850,0.8800,0.8926,-0.0377,0.02313
20260737,ET,0.9030,0.8990,0.9643,-0.0129,0.05000
20260737,opt,0.9090,0.9150,1.3836,0.0060,0.01967
20260737,bopt,0.9170,0.9200,1.2270,0.0056,0.02592
20260738,ET,0.9210,0.9090,1.0848,-0.0021,0.05000
20260738,opt,0.8850,0.8810,0.8566,-0.0182,0.01625
20260738,bopt,0.8880,0.8840,0.9021,-0.0182,0.02335
20260739,ET,0.9180,0.9070,0.9704,-0.0113,0.05000
20260739,opt,0.9120,0.9150,0.9231,-0.0050,0.01315
20260739,bopt,0.9040,0.9010,0.8800,-0.0196,0.01978
20260740,ET,0.8900,0.8830,0.9226,-0.0177,0.05000
20260740,opt,0.8970,0.9010,0.9150,-0.0034,0.01462
20260740,bopt,0.8800,0.8820,0.8637,-0.0212,0.01917
20260741,ET,0.8940,0.8800,0.9725,-0.0206,0.05000
20260741,opt,0.8980,0.8930,0.8854,-0.0185,0.01619
20260741,bopt,0.9060,0.8980,0.9690,-0.0165,0.02557
20260742,ET,0.8990,0.8870,0.8909,-0.0184,0.05000
20260742,opt,0.9130,0.9180,1.1319,0.0029,0.01873
20260742,bopt,0.8940,0.8910,0.8689,-0.0165,0.02706
20260743,ET,0.8900,0.8800,0.9228,-0.0189,0.05000
20260743,opt,0.9020,0.9080,1.2484,0.0035,0.01806
20260743,bopt,0.8880,0.8940,0.9442,-0.0080,0.02410
20260744,ET,0.8920,0.8840,0.9589,-0.0175,0.05000
20260744,opt,0.8830,0.8850,0.8844,-0.0196,0.01854
20260744,bopt,0.9100,0.9080,1.0069,-0.0033,0.02463
20260745,ET,0.9010,0.8880,0.9947,-0.0140,0.05000
20260745,opt,0.8930,0.8950,0.8779,-0.0118,0.01339
20260745,bopt,0.8950,0.8860,0.9180,-0.0172,0.02311
20260746,ET,0.8960,0.8880,1.0088,-0.0185,0.05000
20260746,opt,0.8990,0.9020,0.9000,-0.0158,0.01539
20260746,bopt,0.9010,0.8960,0.9604,-0.0213,0.02585
20260747,ET,0.8630,0.8590,0.8690,-0.0363,0.05000
20260747,opt,0.8510,0.8550,0.8195,-0.0322,0.01863
20260747,bopt,0.8540,0.8540,0.8369,-0.0340,0.02605
20260748,ET,0.9020,0.8990,0.8898,-0.0278,0.05000
20260748,opt,0.9060,0.9070,0.8513,-0.0251,0.02279
20260748,bopt,0.9040,0.9050,0.8746,-0.0251,0.02470
20260749,ET,0.9250,0.9250,1.0269,-0.0045,0.05000
20260749,opt,0.9120,0.9140,1.0966,0.0010,0.01805
20260749,bopt,0.9170,0.9170,1.0926,0.0010,0.02196
20260750,ET,0.9210,0.9160,1.0348,-0.0065,0.05000
20260750,opt,0.9240,0.9260,2.4167,0.0159,0.01805
20260750,bopt,0.9140,0.9170,1.2210,0.0039,0.02706
20260751,ET,0.8890,0.8760,0.9094,-0.0302,0.05000
20260751,opt,0.8740,0.8670,0.8166,-0.0339,0.01452
20260751,bopt,0.8590,0.8510,0.7948,-0.0439,0.02437
20260752,ET,0.9150,0.9100,0.9897,-0.0211,0.05000
20260752,opt,0.9200,0.9190,0.9790,-0.0070,0.01419
20260752,bopt,0.9200,0.9200,1.0139,-0.0095,0.01961
20260753,ET,0.9130,0.9050,0.9216,-0.0075,0.05000
20260753,opt,0.9090,0.9140,2.4891,0.0173,0.01745
20260753,bopt,0.9100,0.9160,2.0797,0.0138,0.02173
20260754,ET,0.8850,0.8810,0.8953,-0.0128,0.05000
20260754,opt,0.8750,0.8800,0.8661,-0.0082,0.01759
20260754,bopt,0.8850,0.8870,0.8917,-0.0083,0.02403
20260755,ET,0.8830,0.8790,0.9095,-0.0103,0.05000
20260755,opt,0.8810,0.8810,0.8759,-0.0052,0.01736
20260755,bopt,0.8650,0.8610,0.8366,-0.0183,0.02199
20260756,ET,0.9200,0.9100,1.0098,-0.0101,0.05000
20260756,opt,0.9270,0.9280,1.7484,0.0095,0.01969
20260756,bopt,0.9260,0.9260,1.0610,0.0010,0.02846
20260757,ET,0.8860,0.8860,0.9584,-0.0179,0.05000
20260757,opt,0.9080,0.9140,1.7295,0.0071,0.01424
20260757,bopt,0.9000,0.9010,0.9993,-0.0026,0.02107
20260758,ET,0.8740,0.8590,0.8781,-0.0377,0.05000
20260758,opt,0.8830,0.8700,0.8221,-0.0379,0.01797
20260758,bopt,0.8860,0.8700,0.8382,-0.0379,0.02437
20260759,ET,0.8980,0.8840,0.8852,-0.0323,0.05000
20260759,opt,0.9150,0.9210,0.9035,-0.0106,0.01255
20260759,bopt,0.9260,0.9220,0.9496,-0.0147,0.02388
20260760,ET,0.9220,0.9060,1.1331,-0.0008,0.05000
20260760,opt,0.9230,0.9200,0.9693,-0.0039,0.01615
20260760,bopt,0.9200,0.9130,1.0618,-0.0038,0.02546
20260761,ET,0.8810,0.8750,0.8800,-0.0268,0.05000
20260761,opt,0.9080,0.9040,0.8861,-0.0132,0.01806
20260761,bopt,0.9020,0.8980,0.8850,-0.0204,0.02431
20260762,ET,0.8990,0.8870,0.9204,-0.0247,0.05000
20260762,opt,0.9210,0.9210,0.9661,-0.0005,0.01806
20260762,bopt,0.9060,0.9090,0.9347,-0.0142,0.02419
20260763,ET,0.9170,0.9130,0.9493,-0.0134,0.05000
20260763,opt,0.9240,0.9310,1.8689,0.0097,0.01654
20260763,bopt,0.9330,0.9290,1.1832,0.0029,0.02340
20260764,ET,0.8980,0.8900,0.9674,-0.0171,0.05000
20260764,opt,0.8900,0.8930,0.9138,-0.0085,0.01836
20260764,bopt,0.9020,0.9050,0.9830,-0.0085,0.02569
20260765,ET,0.9020,0.8910,0.9551,-0.0217,0.05000
20260765,opt,0.8950,0.8970,0.9026,-0.0153,0.01708
20260765,bopt,0.8950,0.9000,0.9169,-0.0212,0.02444
